y,U,UpUp,V,VpVp,Pxx,Pyy
-1.5438,1.0773,0.0027962,0.078268,0.0024194,0.00016129,0.00025775
-1.5422,1.0773,0.0028107,0.078405,0.0024331,0.0001623,0.0002593
-1.5406,1.0773,0.0028252,0.078543,0.0024468,0.00016331,0.00026085
-1.539,1.0773,0.0028398,0.078681,0.0024605,0.00016431,0.0002624
-1.5374,1.0773,0.0028543,0.078818,0.0024741,0.00016532,0.00026395
-1.5358,1.0772,0.0028688,0.078956,0.0024877,0.00016633,0.0002655
-1.5342,1.0772,0.0028834,0.079094,0.0025012,0.00016733,0.00026706
-1.5326,1.0772,0.0028979,0.079231,0.0025147,0.00016834,0.00026862
-1.531,1.0772,0.0029124,0.079369,0.0025281,0.00016934,0.00027017
-1.5294,1.0772,0.002927,0.079507,0.0025416,0.00017035,0.00027173
-1.5278,1.0772,0.0029415,0.079644,0.0025549,0.00017135,0.00027329
-1.5262,1.0772,0.002956,0.079782,0.0025683,0.00017236,0.00027485
-1.5246,1.0778,0.0029734,0.079971,0.0025848,0.00018055,0.0002766
-1.523,1.0778,0.0029895,0.080115,0.0026005,0.00018172,0.00027839
-1.5214,1.0778,0.0030056,0.080259,0.0026161,0.00018289,0.00028018
-1.5198,1.0778,0.0030218,0.080403,0.0026318,0.00018406,0.00028197
-1.5182,1.0778,0.003038,0.080547,0.0026475,0.00018523,0.00028377
-1.5166,1.0778,0.0030542,0.080691,0.0026631,0.0001864,0.00028557
-1.515,1.0778,0.0030704,0.080835,0.0026787,0.00018757,0.00028737
-1.5134,1.0778,0.0030866,0.080979,0.0026943,0.00018874,0.00028917
-1.5118,1.0778,0.0031028,0.081124,0.0027099,0.00018992,0.00029098
-1.5102,1.0777,0.0031191,0.081268,0.0027255,0.00019109,0.00029279
-1.5086,1.0777,0.0031354,0.081412,0.0027411,0.00019226,0.0002946
-1.507,1.0777,0.0031516,0.081556,0.0027566,0.00019344,0.0002964
-1.5054,1.0777,0.0031679,0.081699,0.002772,0.00019461,0.00029821
-1.5038,1.0777,0.0031842,0.081843,0.0027874,0.00019578,0.00030002
-1.5022,1.0777,0.0032004,0.081987,0.0028027,0.00019695,0.00030183
-1.5006,1.077,0.0032099,0.082062,0.0028089,0.00019053,0.00030299
-1.499,1.077,0.0032268,0.082205,0.002825,0.00019174,0.00030482
-1.4974,1.077,0.0032439,0.082348,0.0028413,0.00019297,0.00030666
-1.4958,1.077,0.0032612,0.082492,0.0028577,0.0001942,0.0003085
-1.4942,1.077,0.0032772,0.082639,0.0028727,0.00019531,0.00031036
-1.4926,1.077,0.0032939,0.082784,0.0028885,0.00019649,0.0003122
-1.491,1.077,0.0033109,0.082929,0.0029046,0.00019769,0.00031406
-1.4894,1.0769,0.0033282,0.083077,0.0029212,0.00019891,0.00031597
-1.4878,1.0769,0.0033453,0.083224,0.0029375,0.00020012,0.00031787
-1.4862,1.0769,0.0033636,0.083375,0.0029555,0.00020141,0.0003199
-1.4846,1.0769,0.0033807,0.083519,0.0029715,0.00020263,0.00032176
-1.483,1.0769,0.003398,0.083664,0.0029877,0.00020386,0.00032365
-1.4814,1.0769,0.0034154,0.083809,0.0030041,0.0002051,0.00032555
-1.4798,1.0768,0.0034394,0.083958,0.0030291,0.00020706,0.00032796
-1.4782,1.0768,0.0034576,0.084106,0.0030466,0.00020838,0.00032997
-1.4766,1.0768,0.0034758,0.084254,0.0030641,0.00020969,0.00033199
-1.475,1.0768,0.0034941,0.084403,0.0030816,0.00021101,0.00033402
-1.4734,1.0768,0.0035123,0.084552,0.0030991,0.00021233,0.00033606
-1.4718,1.0768,0.0035306,0.0847,0.0031165,0.00021365,0.00033809
-1.4702,1.0768,0.0035489,0.084849,0.003134,0.00021498,0.00034013
-1.4686,1.0767,0.0035672,0.084998,0.0031513,0.0002163,0.00034217
-1.467,1.0767,0.0035855,0.085147,0.0031687,0.00021762,0.00034421
