y,P
-0.17211,0.00046602
-0.16945,0.00064519
-0.16678,0.00079774
-0.16411,0.0010037
-0.16144,0.0012799
-0.15877,0.001294
-0.1561,0.0012777
-0.15344,0.001664
-0.15077,0.0020476
-0.1481,0.002001
-0.14543,0.0020246
-0.14276,0.0021975
-0.14009,0.0023102
-0.13742,0.0022645
-0.13476,0.0025042
-0.13209,0.0027842
-0.12942,0.0029245
-0.12675,0.0030408
-0.12408,0.0030824
-0.12141,0.0032127
-0.11875,0.0033754
-0.11608,0.0035514
-0.11341,0.0037065
-0.11074,0.0038802
-0.10807,0.0040596
-0.1054,0.0041652
-0.10274,0.0043022
-0.10007,0.004332
-0.097398,0.0044676
-0.09473,0.004566
-0.092061,0.0047496
-0.089393,0.0050006
-0.086724,0.0052531
-0.084056,0.0054617
-0.081388,0.0056422
-0.078719,0.0058482
-0.076051,0.0060169
-0.073382,0.0062773
-0.070714,0.0063942
-0.068045,0.0066011
-0.065377,0.0067359
-0.062708,0.0068884
-0.06004,0.0070609
-0.057372,0.0072104
-0.054703,0.007343
-0.052035,0.0074778
-0.049366,0.0078054
-0.046698,0.0079055
-0.044029,0.0080406
-0.041361,0.0083287
-0.038692,0.0086831
-0.036024,0.0086957
-0.033356,0.0086942
-0.030687,0.0086554
-0.028019,0.00853
-0.02535,0.0082392
-0.022682,0.0082232
-0.020013,0.0082083
-0.017345,0.008185
-0.014676,0.0082201
-0.012008,0.0083541
-0.0093396,0.0083028
-0.0066711,0.0082837
-0.0040027,0.0083966
-0.0013342,0.0084146
0.0013342,0.0082754
0.0040027,0.0082113
0.0066711,0.0081407
0.0093396,0.0080389
0.012008,0.00794
0.014676,0.0078213
0.017345,0.0077225
0.020013,0.007592
0.022682,0.0074208
0.02535,0.0072288
0.028019,0.0070452
0.030687,0.0067064
0.033356,0.0064495
0.036024,0.0063037
0.038692,0.0061783
0.041361,0.0059094
0.044029,0.0057248
0.046698,0.0056386
0.049366,0.0057204
0.052035,0.005611
0.054703,0.0054651
0.057372,0.0052343
0.06004,0.0050511
0.062708,0.0048873
0.065377,0.0047411
0.068045,0.0046246
0.070714,0.0045439
0.073382,0.0044137
0.076051,0.004165
0.078719,0.00395
0.081388,0.0037967
0.084056,0.0036588
0.086724,0.003567
0.089393,0.0034989
0.092061,0.0034746
0.09473,0.0033209
0.097398,0.0031651
0.10007,0.0030522
0.10274,0.0029001
0.1054,0.0027513
0.10807,0.0025757
0.11074,0.0023974
0.11341,0.0022206
0.11608,0.0020471
0.11875,0.0019834
0.12141,0.0018894
0.12408,0.001511
0.12675,0.0012048
0.12942,0.0010465
0.13209,0.00097077
0.13476,0.00086115
0.13742,0.00073553
0.14009,0.00053259
0.14276,0.00035743
0.14543,0.00025861
0.1481,0.00028959
0.15077,0.00035845
0.15344,0.00019622
0.1561,3.1247e-05
0.15877,-9.2156e-05
0.16144,-0.00034907
0.16411,-0.00045298
0.16678,-0.00069839
0.16945,-0.0007921
0.17211,-0.00079829
0.17478,-0.0011132
0.17745,-0.0013606
0.18012,-0.0016896
0.18279,-0.0020184
0.18546,-0.0022929
0.18813,-0.0025395
0.19079,-0.0027395
0.19346,-0.0029489
0.19613,-0.0032427
0.1988,-0.0036818
0.20147,-0.0040218
0.20414,-0.0043621
0.2068,-0.0046906
0.20947,-0.0050409
0.21214,-0.0054369
0.21481,-0.0056954
0.21748,-0.0058947
0.22015,-0.0061509
0.22282,-0.0064596
0.22548,-0.0066875
0.22815,-0.006879
0.23082,-0.0070127
0.23349,-0.0071732
0.23616,-0.0073114
0.23883,-0.0073706
0.24149,-0.0073353
0.24416,-0.0076281
0.24683,-0.007813
0.2495,-0.0079493
0.25217,-0.0079295
0.25484,-0.0080725
0.25751,-0.0082131
0.26017,-0.0083857
0.26284,-0.0086162
0.26551,-0.00894
0.26818,-0.0090569
0.27085,-0.0091562
0.27352,-0.009298
0.27618,-0.0097125
0.27885,-0.010045
0.28152,-0.010111
0.28419,-0.010401
0.28686,-0.010849
0.28953,-0.011158
0.29219,-0.011288
0.29486,-0.011363
0.29753,-0.011718
0.3002,-0.012038
0.30287,-0.012349
0.30554,-0.012836
0.30821,-0.013211
0.31087,-0.013536
0.31354,-0.013769
0.31621,-0.014075
0.31888,-0.014428
0.32155,-0.014831
0.32422,-0.015324
0.32688,-0.015642
0.32955,-0.01589
0.33222,-0.016108
0.33489,-0.016316
0.33756,-0.016556
0.34023,-0.016864
0.3429,-0.016974
0.34556,-0.017247
0.34823,-0.017526
0.3509,-0.017796
0.35357,-0.018194
0.35624,-0.01848
0.35891,-0.018681
0.36157,-0.019054
0.36424,-0.019313
0.36691,-0.019572
0.36958,-0.019809
0.37225,-0.020122
0.37492,-0.020436
0.37759,-0.020609
0.38025,-0.020828
0.38292,-0.021124
0.38559,-0.021449
0.38826,-0.02173
0.39093,-0.022069
0.3936,-0.022502
0.39626,-0.022892
0.39893,-0.023389
0.4016,-0.023974
0.40427,-0.024656
0.40694,-0.025124
0.40961,-0.025827
0.41227,-0.026311
0.41494,-0.026829
0.41761,-0.027353
0.42028,-0.028114
0.42295,-0.028799
0.42562,-0.029477
0.42829,-0.030136
0.43095,-0.030795
0.43362,-0.031509
0.43629,-0.032197
0.43896,-0.032818
0.44163,-0.033432
0.4443,-0.034026
0.44696,-0.03474
0.44963,-0.035433
0.4523,-0.036198
0.45497,-0.037013
0.45764,-0.037817
0.46031,-0.038612
0.46298,-0.039393
0.46564,-0.040138
0.46831,-0.041077
0.47098,-0.041818
0.47365,-0.042556
0.47632,-0.043398
0.47899,-0.044433
0.48165,-0.045493
0.48432,-0.046531
0.48699,-0.047633
0.48966,-0.049049
0.49233,-0.050355
0.495,-0.051925
0.49767,-0.053263
0.50033,-0.055015
0.503,-0.05673
0.50567,-0.058534
0.50834,-0.060659
0.51101,-0.062365
0.51368,-0.064444
0.51634,-0.066665
0.51901,-0.068456
0.52168,-0.070082
0.52435,-0.071385
0.52702,-0.071786
0.52969,-0.071629
0.53235,-0.071247
0.53502,-0.070291
0.53769,-0.068731
0.54036,-0.0665
