y,U,UpUp,V,VpVp,Pxx,Pyy
1.0028,1.26,0.0014061,-0.067584,0.0027154,0.00043841,0.00053595
1.0044,1.2596,0.0014013,-0.067378,0.0027024,0.00043596,0.00053132
1.006,1.26,0.0013979,-0.067213,0.002691,0.00044587,0.00052575
1.0076,1.2588,0.0013934,-0.066966,0.002676,0.00043103,0.00052241
1.0092,1.2584,0.0013895,-0.066766,0.002664,0.00042859,0.00051834
1.0108,1.258,0.0013853,-0.066566,0.0026518,0.00042618,0.00051422
1.0124,1.2576,0.0013808,-0.066366,0.0026397,0.0004238,0.00051007
1.014,1.2572,0.0013759,-0.066165,0.0026274,0.00042144,0.00050587
1.0156,1.2568,0.0013708,-0.065965,0.002615,0.00041911,0.00050162
1.0172,1.2564,0.0013669,-0.065762,0.0026024,0.00041677,0.00049739
1.0188,1.2561,0.0013635,-0.065561,0.0025903,0.00041446,0.00049335
1.0204,1.2557,0.0013599,-0.065362,0.0025789,0.0004122,0.00048945
1.022,1.2553,0.0013566,-0.065164,0.0025672,0.00040992,0.00048559
1.0236,1.2549,0.0013521,-0.064963,0.002556,0.00040784,0.00048138
1.0252,1.2545,0.0013473,-0.064769,0.0025439,0.00040545,0.00047772
1.0268,1.2541,0.0013442,-0.064572,0.0025315,0.00040311,0.00047401
1.0284,1.2537,0.0013397,-0.064374,0.0025195,0.0004009,0.00047004
1.03,1.2533,0.0013349,-0.064176,0.0025073,0.00039871,0.00046603
1.0316,1.2537,0.0013315,-0.064019,0.0024986,0.00040853,0.00046132
1.0332,1.2533,0.001327,-0.063825,0.0024882,0.00040646,0.00045758
1.0348,1.2522,0.001322,-0.063592,0.0024753,0.00039244,0.00045497
1.0364,1.2518,0.0013176,-0.063404,0.0024645,0.00039022,0.00045169
1.038,1.2514,0.0013137,-0.06321,0.002453,0.00038806,0.00044812
1.0396,1.2511,0.0013096,-0.063015,0.0024412,0.00038592,0.00044448
1.0412,1.2507,0.0013052,-0.062821,0.0024293,0.0003838,0.00044078
1.0428,1.2503,0.0013011,-0.062628,0.0024179,0.0003817,0.00043725
1.0444,1.2499,0.0012977,-0.062436,0.0024069,0.0003796,0.0004339
1.046,1.2496,0.001294,-0.062245,0.0023958,0.00037752,0.00043052
1.0476,1.2492,0.00129,-0.062053,0.0023847,0.00037546,0.0004271
1.0492,1.2488,0.0012858,-0.061862,0.0023734,0.00037343,0.00042364
1.0508,1.2492,0.0012862,-0.061697,0.0023642,0.0003831,0.00041897
1.0524,1.2488,0.001282,-0.061511,0.0023535,0.00038099,0.00041592
1.054,1.2484,0.0012778,-0.061325,0.0023428,0.00037892,0.0004128
1.0556,1.2481,0.0012735,-0.061137,0.0023321,0.00037689,0.00040961
1.0572,1.2477,0.0012692,-0.060949,0.0023214,0.00037489,0.00040637
1.0588,1.2473,0.0012642,-0.060761,0.0023107,0.00037296,0.00040304
1.0604,1.247,0.0012591,-0.060577,0.0023008,0.00037103,0.00039995
1.062,1.2459,0.0012545,-0.060356,0.0022893,0.00035773,0.0003979
